About|Tungkol|Tentang|Giới thiệu|เกี่ยวกับ|Acerca de|Sobre|À propos|Über|О программе
Queue the deployed Serenity GitHub loader for the next teleport or reconnect. Works independently from Auto Server Hop When No Matching Egg.|I-queue ang deployed Serenity GitHub loader para sa susunod na teleport o reconnect. Hiwalay ito sa Auto Server Hop When No Matching Egg.|Antrekan loader Serenity GitHub yang sudah dirilis untuk teleport atau sambung ulang berikutnya. Bekerja terpisah dari Auto Server Hop When No Matching Egg.|Xếp hàng loader Serenity GitHub đã triển khai cho lần dịch chuyển hoặc kết nối lại tiếp theo. Hoạt động độc lập với Auto Server Hop When No Matching Egg.|จัดคิว Serenity GitHub loader ที่ใช้งานอยู่สำหรับเทเลพอร์ตหรือเชื่อมต่อใหม่ครั้งถัดไป แยกจาก Auto Server Hop When No Matching Egg|Encola el loader desplegado de Serenity GitHub para el próximo teletransporte o reconexión. Funciona aparte de Auto Server Hop When No Matching Egg.|Coloca na fila o loader Serenity GitHub implantado para o próximo teleporte ou reconexão. Funciona separado de Auto Server Hop When No Matching Egg.|Met en file le loader Serenity GitHub déployé pour le prochain téléport ou reconnexion. Fonctionne indépendamment de Auto Server Hop When No Matching Egg.|Stellt den bereitgestellten Serenity-GitHub-Loader für den nächsten Teleport oder Reconnect in die Warteschlange. Unabhängig von Auto Server Hop When No Matching Egg.|Ставит опубликованный Serenity GitHub loader в очередь на следующий телепорт или переподключение. Работает независимо от Auto Server Hop When No Matching Egg.
Rarities|Mga Rarity|Kelangkaan|Độ hiếm|ระดับความหายาก|Rarezas|Raridades|Raretés|Seltenheiten|Редкости
Rarity + Egg|Rarity + Itlog|Kelangkaan + Telur|Độ hiếm + Trứng|ความหายาก + ไข่|Rareza + Huevo|Raridade + Ovo|Rareté + Œuf|Seltenheit + Ei|Редкость + Яйцо
Rebirth|Rebirth|Rebirth|Tái sinh|เกิดใหม่|Renacimiento|Renascimento|Renaissance|Wiedergeburt|Перерождение
Reduce Lag|Bawasan ang Lag|Kurangi Lag|Giảm lag|ลดแลค|Reducir lag|Reduzir lag|Réduire le lag|Lag reduzieren|Уменьшить лаг
Reduce Lag and Remove Other Gardens were disabled for Server Hop stability|Na-disable ang Reduce Lag at Remove Other Gardens para sa stability ng Server Hop|Reduce Lag dan Remove Other Gardens dinonaktifkan demi stabilitas Server Hop|Đã tắt Reduce Lag và Remove Other Gardens để Server Hop ổn định|ปิด Reduce Lag และ Remove Other Gardens เพื่อความเสถียรของ Server Hop|Reduce Lag y Remove Other Gardens se desactivaron para estabilizar Server Hop|Reduce Lag e Remove Other Gardens foram desativados para estabilidade do Server Hop|Reduce Lag et Remove Other Gardens ont été désactivés pour stabiliser Server Hop|Reduce Lag und Remove Other Gardens wurden für stabilen Server Hop deaktiviert|Reduce Lag и Remove Other Gardens отключены для стабильности Server Hop
Refresh Garden|I-refresh ang Garden|Perbarui Kebun|Làm mới khu vườn|รีเฟรชสวน|Actualizar jardín|Atualizar jardim|Actualiser le jardin|Garten aktualisieren|Обновить сад
Refresh Pet List|I-refresh ang Pet List|Perbarui Daftar Pet|Làm mới danh sách thú cưng|รีเฟรชรายชื่อสัตว์เลี้ยง|Actualizar lista de mascotas|Atualizar lista de pets|Actualiser la liste des animaux|Begleiterliste aktualisieren|Обновить список питомцев
Refresh all owned garden and inventory pets available for the weather swap.|I-refresh ang lahat ng pag-aari mong garden at inventory pets na available para sa weather swap.|Perbarui semua pet milik sendiri di kebun dan inventaris yang tersedia untuk pertukaran cuaca.|Làm mới tất cả pet sở hữu trong vườn và kho có thể dùng cho đổi thời tiết.|รีเฟรชสัตว์เลี้ยงที่เป็นเจ้าของทั้งหมดในสวนและคลังที่ใช้สลับตามสภาพอากาศได้|Actualiza todas las mascotas propias del jardín e inventario disponibles para el cambio por clima.|Atualiza todos os pets próprios do jardim e inventário disponíveis para a troca por clima.|Actualise tous les animaux possédés dans le jardin et l’inventaire disponibles pour l’échange météo.|Aktualisiert alle eigenen Garten- und Inventar-Begleiter für den Wetterwechsel.|Обновляет всех ваших питомцев в саду и инвентаре, доступных для погодной смены.
Refresh the current placed pets used by Selected Pets.|I-refresh ang kasalukuyang naka-place na pets na ginagamit ng Selected Pets.|Perbarui pet yang sedang dipasang dan digunakan oleh Selected Pets.|Làm mới các pet đang đặt được dùng bởi Selected Pets.|รีเฟรชสัตว์เลี้ยงที่วางอยู่ซึ่งใช้โดย Selected Pets|Actualiza las mascotas colocadas usadas por Selected Pets.|Atualiza os pets colocados usados por Selected Pets.|Actualise les animaux placés utilisés par Selected Pets.|Aktualisiert die platzierten Begleiter für Selected Pets.|Обновляет размещённых питомцев, используемых в Selected Pets.
Rejoin Interval (Seconds)|Interval ng Rejoin (Segundo)|Interval Gabung Ulang (Detik)|Khoảng thời gian vào lại (giây)|ช่วงเวลาการเข้าใหม่ (วินาที)|Intervalo de reingreso (segundos)|Intervalo de reentrada (segundos)|Intervalle de reconnexion (secondes)|Rejoin-Intervall (Sekunden)|Интервал повторного входа (сек.)
Remove Other Players' Gardens|Alisin ang Garden ng Ibang Player|Hapus Kebun Pemain Lain|Ẩn vườn của người chơi khác|ลบสวนของผู้เล่นอื่น|Eliminar jardines de otros jugadores|Remover jardins de outros jogadores|Supprimer les jardins des autres joueurs|Gärten anderer Spieler entfernen|Убрать сады других игроков
Reset failed|Nabigo ang reset|Reset gagal|Đặt lại thất bại|รีเซ็ตล้มเหลว|Error al restablecer|Falha ao redefinir|Échec de la réinitialisation|Zurücksetzen fehlgeschlagen|Сброс не удался
Restore Previous Pets After Weather|Ibalik ang Dating Pets Pagkatapos ng Panahon|Pulihkan Pet Sebelumnya Setelah Cuaca|Khôi phục thú cưng trước đó sau thời tiết|คืนสัตว์เลี้ยงเดิมหลังสภาพอากาศ|Restaurar mascotas anteriores después del clima|Restaurar pets anteriores após o clima|Restaurer les animaux précédents après la météo|Vorherige Begleiter nach Wetter wiederherstellen|Вернуть прежних питомцев после погоды
Restore Ride A Pet defaults. Anti-AFK returns ON; automations return OFF.|Ibalik ang default ng Ride A Pet. Anti-AFK = ON; automations = OFF.|Pulihkan default Ride A Pet. Anti-AFK kembali ON; otomatisasi kembali OFF.|Khôi phục mặc định Ride A Pet. Anti-AFK bật lại; tự động hóa tắt.|คืนค่าเริ่มต้น Ride A Pet: Anti-AFK เปิด และออโต้ปิด|Restaura los valores predeterminados de Ride A Pet. Anti-AFK vuelve ON; automatizaciones OFF.|Restaura os padrões do Ride A Pet. Anti-AFK volta ON; automações OFF.|Restaure les valeurs par défaut de Ride A Pet. Anti-AFK revient ON ; automatisations OFF.|Stellt Ride-A-Pet-Standardwerte wieder her. Anti-AFK AN; Automatisierungen AUS.|Возвращает настройки Ride A Pet по умолчанию. Anti-AFK — ВКЛ; автоматизации — ВЫКЛ.
Restores your old farm pets when weather ends.|Ibinabalik ang dating farm pets kapag tapos na ang weather.|Mengembalikan pet farm sebelumnya saat cuaca berakhir.|Khôi phục pet nông trại trước đó khi thời tiết kết thúc.|คืนสัตว์เลี้ยงในฟาร์มเดิมเมื่อสภาพอากาศจบ|Restaura tus mascotas anteriores cuando termina el clima.|Restaura seus pets anteriores quando o clima termina.|Restaure vos anciens animaux quand la météo se termine.|Stellt die vorherigen Farm-Begleiter nach dem Wetter wieder her.|Возвращает прежних питомцев фермы после окончания погоды.
Return to Base When Idle|Bumalik sa Base Kapag Idle|Kembali ke Basis saat Diam|Về căn cứ khi đứng yên|กลับฐานเมื่อไม่ได้เคลื่อนไหว|Volver a la base al estar inactivo|Voltar à base quando ocioso|Retourner à la base en cas d’inactivité|Bei Inaktivität zur Basis zurückkehren|Возвращаться на базу при бездействии
Ride A Pet|Ride A Pet|Ride A Pet|Ride A Pet|Ride A Pet|Ride A Pet|Ride A Pet|Ride A Pet|Ride A Pet|Ride A Pet
Ride A Pet automation features.|Mga automation feature ng Ride A Pet.|Fitur otomatisasi Ride A Pet.|Tính năng tự động hóa Ride A Pet.|ฟีเจอร์อัตโนมัติของ Ride A Pet|Funciones de automatización de Ride A Pet.|Recursos de automação do Ride A Pet.|Fonctions d’automatisation de Ride A Pet.|Automatisierungsfunktionen für Ride A Pet.|Функции автоматизации Ride A Pet.
Ride A Pet automation status.|Status ng Ride A Pet automation.|Status otomatisasi Ride A Pet.|Trạng thái tự động hóa Ride A Pet.|สถานะออโต้ Ride A Pet|Estado de automatización de Ride A Pet.|Status da automação do Ride A Pet.|État de l’automatisation Ride A Pet.|Status der Ride-A-Pet-Automatisierung.|Статус автоматизации Ride A Pet.
Ride A Pet settings saved|Nai-save ang Ride A Pet settings|Pengaturan Ride A Pet disimpan|Đã lưu cài đặt Ride A Pet|บันทึกการตั้งค่า Ride A Pet แล้ว|Ajustes de Ride A Pet guardados|Configurações de Ride A Pet salvas|Paramètres de Ride A Pet enregistrés|Ride-A-Pet-Einstellungen gespeichert|Настройки Ride A Pet сохранены
Run the game's Place Best once now.|Patakbuhin ang Place Best ng game nang isang beses ngayon.|Jalankan Place Best milik game sekali sekarang.|Chạy Place Best của game một lần ngay bây giờ.|รัน Place Best ของเกมหนึ่งครั้งตอนนี้|Ejecuta una vez ahora el Place Best del juego.|Executa o Place Best do jogo uma vez agora.|Exécute une fois maintenant le Place Best du jeu.|Führt das Place Best des Spiels jetzt einmal aus.|Запускает Place Best игры один раз сейчас.
Save failed|Nabigo ang pag-save|Gagal menyimpan|Lưu thất bại|บันทึกล้มเหลว|Error al guardar|Falha ao salvar|Échec de l’enregistrement|Speichern fehlgeschlagen|Сохранение не удалось
Save or reset Ride A Pet settings.|I-save o i-reset ang Ride A Pet settings.|Simpan atau reset pengaturan Ride A Pet.|Lưu hoặc đặt lại cài đặt Ride A Pet.|บันทึกหรือรีเซ็ตการตั้งค่า Ride A Pet|Guarda o restablece los ajustes de Ride A Pet.|Salva ou redefine as configurações do Ride A Pet.|Enregistre ou réinitialise les paramètres de Ride A Pet.|Ride-A-Pet-Einstellungen speichern oder zurücksetzen.|Сохранить или сбросить настройки Ride A Pet.
Save the current Ride A Pet settings now.|I-save ngayon ang kasalukuyang Ride A Pet settings.|Simpan pengaturan Ride A Pet saat ini sekarang.|Lưu cài đặt Ride A Pet hiện tại ngay.|บันทึกการตั้งค่า Ride A Pet ปัจจุบันตอนนี้|Guarda ahora los ajustes actuales de Ride A Pet.|Salva agora as configurações atuais do Ride A Pet.|Enregistre maintenant les paramètres actuels de Ride A Pet.|Speichert die aktuellen Ride-A-Pet-Einstellungen jetzt.|Сохранить текущие настройки Ride A Pet сейчас.
Saved Config|Naka-save na Config|Konfigurasi Tersimpan|Cấu hình đã lưu|การตั้งค่าที่บันทึกไว้|Configuración guardada|Configuração salva|Configuration enregistrée|Gespeicherte Konfiguration|Сохранённая конфигурация
Saved config reset · re-execute once to refresh all controls|Na-reset ang saved config · mag-re-execute nang isang beses para ma-refresh lahat ng controls|Konfigurasi tersimpan direset · jalankan ulang sekali untuk memperbarui semua kontrol|Đã đặt lại cấu hình đã lưu · chạy lại một lần để làm mới mọi điều khiển|รีเซ็ตการตั้งค่าที่บันทึกแล้ว · รันใหม่หนึ่งครั้งเพื่อรีเฟรชตัวควบคุมทั้งหมด|Configuración guardada restablecida · vuelve a ejecutar una vez para actualizar todos los controles|Configuração salva redefinida · execute novamente uma vez para atualizar todos os controles|Configuration enregistrée réinitialisée · réexécutez une fois pour actualiser tous les contrôles|Gespeicherte Konfiguration zurückgesetzt · einmal neu ausführen, um alle Steuerelemente zu aktualisieren|Сохранённая конфигурация сброшена · выполните скрипт ещё раз для обновления всех элементов
Seconds between confirmed sales. Minimum 1.|Segundo sa pagitan ng kumpirmadong benta. Minimum 1.|Detik antara penjualan terkonfirmasi. Minimum 1.|Số giây giữa các lần bán đã xác nhận. Tối thiểu 1.|วินาทีระหว่างการขายที่ยืนยันแล้ว ขั้นต่ำ 1|Segundos entre ventas confirmadas. Mínimo 1.|Segundos entre vendas confirmadas. Mínimo 1.|Secondes entre les ventes confirmées. Minimum 1.|Sekunden zwischen bestätigten Verkäufen. Minimum 1.|Секунды между подтверждёнными продажами. Минимум 1.
Selected Pets|Piniling Pets|Pet Terpilih|Thú cưng đã chọn|สัตว์เลี้ยงที่เลือก|Mascotas seleccionadas|Pets selecionados|Animaux sélectionnés|Ausgewählte Begleiter|Выбранные питомцы
Selected Rarities|Piniling Rarity|Kelangkaan Terpilih|Độ hiếm đã chọn|ระดับความหายากที่เลือก|Rarezas seleccionadas|Raridades selecionadas|Raretés sélectionnées|Ausgewählte Seltenheiten|Выбранные редкости
Sell Interval|Interval ng Pagbenta|Interval Penjualan|Khoảng thời gian bán|ช่วงเวลาการขาย|Intervalo de venta|Intervalo de venda|Intervalle de vente|Verkaufsintervall|Интервал продажи
Sell Rarities|Mga Rarity na Ibebenta|Kelangkaan yang Dijual|Độ hiếm để bán|ระดับความหายากที่จะขาย|Rarezas para vender|Raridades para vender|Raretés à vendre|Zu verkaufende Seltenheiten|Редкости для продажи
Sell one eligible pet at a time through Richie.|Magbenta ng isang eligible na pet kada beses sa pamamagitan ni Richie.|Jual satu pet yang memenuhi syarat per kali melalui Richie.|Bán từng pet đủ điều kiện qua Richie.|ขายสัตว์เลี้ยงที่ตรงเงื่อนไขทีละตัวผ่าน Richie|Vende una mascota apta a la vez mediante Richie.|Vende um pet elegível por vez através do Richie.|Vend un animal éligible à la fois via Richie.|Verkauft jeweils einen geeigneten Begleiter über Richie.|Продаёт по одному подходящему питомцу через Richie.
Sells eligible pets through Richie. Your current ride is only dismounted when a real sale is ready to begin.|Ibinebenta ang eligible pets sa pamamagitan ni Richie. Bababa ka lang sa sinasakyang pet kapag handa na talaga ang benta.|Menjual pet yang memenuhi syarat melalui Richie. Tunggangannya hanya dilepas saat penjualan nyata siap dimulai.|Bán pet đủ điều kiện qua Richie. Chỉ xuống pet đang cưỡi khi giao dịch thật sự sẵn sàng.|ขายสัตว์เลี้ยงที่ตรงเงื่อนไขผ่าน Richie จะลงจากสัตว์เลี้ยงที่ขี่เมื่อการขายพร้อมเริ่มจริงเท่านั้น|Vende mascotas aptas mediante Richie. Solo desmonta tu mascota actual cuando una venta real está lista.|Vende pets elegíveis pelo Richie. Só desmonta o pet atual quando uma venda real estiver pronta.|Vend les animaux éligibles via Richie. Vous ne descendez de votre monture que lorsqu’une vraie vente est prête.|Verkauft geeignete Begleiter über Richie. Abgestiegen wird nur, wenn ein echter Verkauf bereit ist.|Продаёт подходящих питомцев через Richie. С текущего питомца слезает только когда реальная продажа готова начаться.
Send Discord notifications only after confirmed successful egg steals.|Magpadala lang ng Discord notifications pagkatapos ng kumpirmadong successful egg steal.|Kirim notifikasi Discord hanya setelah pencurian telur berhasil dikonfirmasi.|Chỉ gửi thông báo Discord sau khi trộm trứng thành công được xác nhận.|ส่งการแจ้งเตือน Discord หลังจากยืนยันว่าขโมยไข่สำเร็จเท่านั้น|Envía notificaciones de Discord solo tras robos de huevos confirmados.|Envia notificações do Discord apenas após roubos de ovos confirmados.|Envoie les notifications Discord uniquement après un vol d’œuf confirmé.|Sendet Discord-Benachrichtigungen nur nach bestätigtem erfolgreichem Eierdiebstahl.|Отправляет уведомления Discord только после подтверждённой успешной кражи яйца.
Send a test embed without stealing an egg. The test never includes the Serenity Discord invite.|Magpadala ng test embed nang hindi nagnanakaw ng itlog. Hindi kasama sa test ang Serenity Discord invite.|Kirim embed tes tanpa mencuri telur. Tes tidak pernah menyertakan undangan Discord Serenity.|Gửi embed thử mà không trộm trứng. Bản thử không bao giờ kèm lời mời Discord Serenity.|ส่ง embed ทดสอบโดยไม่ขโมยไข่ การทดสอบจะไม่ใส่คำเชิญ Discord Serenity|Envía un embed de prueba sin robar un huevo. La prueba nunca incluye la invitación de Discord de Serenity.|Envia um embed de teste sem roubar ovo. O teste nunca inclui o convite do Discord Serenity.|Envoie un embed de test sans voler d’œuf. Le test n’inclut jamais l’invitation Discord Serenity.|Sendet ein Test-Embed ohne Ei zu stehlen. Der Test enthält nie die Serenity-Discord-Einladung.|Отправляет тестовый embed без кражи яйца. Тест никогда не включает приглашение Serenity Discord.
Send filtered confirmed steals to your Discord webhook.|Ipadala sa Discord webhook ang filtered at kumpirmadong steals.|Kirim pencurian terfilter yang terkonfirmasi ke webhook Discord.|Gửi các lần trộm đã lọc và xác nhận tới webhook Discord.|ส่งการขโมยที่ผ่านตัวกรองและยืนยันแล้วไปยังเว็บฮุก Discord|Envía robos filtrados y confirmados a tu webhook de Discord.|Envia roubos filtrados e confirmados ao webhook do Discord.|Envoie les vols filtrés et confirmés vers votre webhook Discord.|Sendet gefilterte bestätigte Diebstähle an den Discord-Webhook.|Отправляет отфильтрованные подтверждённые кражи в Discord-вебхук.
Server hop|Paglipat ng server|Pindah server|Đổi máy chủ|ย้ายเซิร์ฟเวอร์|Cambio de servidor|Troca de servidor|Changement de serveur|Serverwechsel|Смена сервера
Server hop is still initializing|Nagsisimula pa ang server hop|Pindah server masih dimulai|Đổi máy chủ vẫn đang khởi tạo|กำลังเริ่มการย้ายเซิร์ฟเวอร์|El cambio de servidor aún se está iniciando|A troca de servidor ainda está iniciando|Le changement de serveur est encore en cours d’initialisation|Serverwechsel wird noch initialisiert|Смена сервера ещё инициализируется
Server hop queued|Naka-queue ang server hop|Pindah server masuk antrean|Đã xếp hàng đổi máy chủ|จัดคิวการย้ายเซิร์ฟเวอร์แล้ว|Cambio de servidor en cola|Troca de servidor na fila|Changement de serveur mis en file|Serverwechsel eingereiht|Смена сервера поставлена в очередь
Show a box plus egg name and distance.|Ipakita ang box kasama ang pangalan ng itlog at distansya.|Tampilkan kotak, nama telur, dan jarak.|Hiển thị hộp cùng tên trứng và khoảng cách.|แสดงกล่องพร้อมชื่อไข่และระยะทาง|Muestra una caja con nombre del huevo y distancia.|Mostra uma caixa com nome do ovo e distância.|Affiche une boîte avec le nom de l’œuf et la distance.|Zeigt Box, Eiername und Entfernung.|Показывает рамку, название яйца и расстояние.
Show the actual active server weather variant(s) Serenity can see.|Ipakita ang aktuwal na active server weather variant na nakikita ng Serenity.|Tampilkan varian cuaca server aktif yang benar-benar terlihat oleh Serenity.|Hiển thị biến thể thời tiết máy chủ đang hoạt động mà Serenity thấy.|แสดงตัวแปรสภาพอากาศเซิร์ฟเวอร์ที่กำลังทำงานจริงซึ่ง Serenity มองเห็น|Muestra las variantes reales de clima activas que Serenity puede ver.|Mostra as variantes reais de clima ativas que o Serenity consegue ver.|Affiche les variantes météo réellement actives que Serenity peut voir.|Zeigt die tatsächlich aktiven Server-Wettervarianten, die Serenity erkennt.|Показывает реальные активные варианты погоды сервера, которые видит Serenity.
Small delay before reconnecting after a disconnect prompt. Default is 3 seconds.|Maikling delay bago mag-reconnect pagkatapos ng disconnect prompt. Default ay 3 segundo.|Jeda singkat sebelum menyambung ulang setelah pesan putus. Default 3 detik.|Độ trễ ngắn trước khi kết nối lại sau thông báo mất kết nối. Mặc định 3 giây.|หน่วงเวลาเล็กน้อยก่อนเชื่อมต่อใหม่หลังข้อความตัดการเชื่อมต่อ ค่าเริ่มต้น 3 วินาที|Pequeño retraso antes de reconectar tras un aviso de desconexión. Predeterminado: 3 segundos.|Pequeno atraso antes de reconectar após aviso de desconexão. Padrão: 3 segundos.|Petit délai avant la reconnexion après un avis de déconnexion. Par défaut : 3 secondes.|Kleine Verzögerung vor dem Reconnect nach einer Trennungsmeldung. Standard: 3 Sekunden.|Небольшая задержка перед переподключением после сообщения об отключении. По умолчанию 3 секунды.
Specific Eggs|Partikular na Itlog|Telur Tertentu|Trứng cụ thể|ไข่เฉพาะ|Huevos específicos|Ovos específicos|Œufs spécifiques|Bestimmte Eier|Конкретные яйца
Specific Weather|Partikular na Panahon|Cuaca Tertentu|Thời tiết cụ thể|สภาพอากาศเฉพาะ|Clima específico|Clima específico|Météo spécifique|Bestimmtes Wetter|Конкретная погода
Steal Notifications|Mga Notification ng Steal|Notifikasi Pencurian|Thông báo trộm|การแจ้งเตือนการขโมย|Notificaciones de robo|Notificações de roubo|Notifications de vol|Diebstahl-Benachrichtigungen|Уведомления о краже
Steal Priority|Priority ng Steal|Prioritas Pencurian|Ưu tiên trộm|ลำดับความสำคัญการขโมย|Prioridad de robo|Prioridade de roubo|Priorité de vol|Diebstahlpriorität|Приоритет кражи
Steal Webhook|Steal Webhook|Webhook Pencurian|Webhook trộm|เว็บฮุกการขโมย|Webhook de robo|Webhook de roubo|Webhook de vol|Diebstahl-Webhook|Вебхук кражи
Steal eligible eggs using whichever filters you choose. Luck=Any, K.G=0, and empty Specific Eggs each disable that filter.|Nakawin ang eligible eggs gamit ang napiling filters. Luck=Any, K.G=0 at walang Specific Eggs ay nagdi-disable sa kani-kanilang filter.|Curi telur yang memenuhi syarat dengan filter pilihan. Luck=Any, K.G=0, dan Specific Eggs kosong menonaktifkan masing-masing filter.|Trộm trứng đủ điều kiện bằng bộ lọc bạn chọn. Luck=Any, K.G=0 và Specific Eggs trống sẽ tắt từng bộ lọc.|ขโมยไข่ที่ตรงเงื่อนไขด้วยตัวกรองที่เลือก Luck=Any, K.G=0 และ Specific Eggs ว่างจะปิดตัวกรองนั้น|Roba huevos aptos con los filtros que elijas. Luck=Any, K.G=0 y Specific Eggs vacío desactivan cada filtro.|Rouba ovos elegíveis com os filtros escolhidos. Luck=Any, K.G=0 e Specific Eggs vazio desativam cada filtro.|Vole les œufs éligibles avec les filtres choisis. Luck=Any, K.G=0 et Specific Eggs vide désactivent chacun leur filtre.|Stiehlt geeignete Eier mit den gewählten Filtern. Luck=Any, K.G=0 und leere Specific Eggs deaktivieren den jeweiligen Filter.|Крадёт подходящие яйца с выбранными фильтрами. Luck=Any, K.G=0 и пустой Specific Eggs отключают соответствующий фильтр.
Steal, place and hatch eggs.|Nakawin, ilagay at i-hatch ang mga itlog.|Curi, tempatkan, dan tetaskan telur.|Trộm, đặt và ấp trứng.|ขโมย วาง และฟักไข่|Roba, coloca y eclosiona huevos.|Rouba, coloca e choca ovos.|Vole, place et fait éclore les œufs.|Eier stehlen, platzieren und ausbrüten.|Красть, размещать и вылуплять яйца.
Stored only in your local Ride A Pet config.|Naka-store lang sa local Ride A Pet config mo.|Hanya disimpan di konfigurasi lokal Ride A Pet.|Chỉ lưu trong cấu hình Ride A Pet cục bộ.|เก็บไว้เฉพาะในการตั้งค่า Ride A Pet บนเครื่องของคุณ|Se guarda solo en tu configuración local de Ride A Pet.|Armazenado apenas na configuração local do Ride A Pet.|Stocké uniquement dans votre configuration locale Ride A Pet.|Wird nur in deiner lokalen Ride-A-Pet-Konfiguration gespeichert.|Хранится только в локальной конфигурации Ride A Pet.
Swaps farm pets during selected weather. Steal stays priority.|Pinapalitan ang farm pets habang aktibo ang napiling weather. Priority pa rin ang Steal.|Menukar pet farm saat cuaca terpilih aktif. Steal tetap prioritas.|Đổi pet nông trại khi thời tiết đã chọn hoạt động. Steal vẫn ưu tiên.|สลับสัตว์เลี้ยงในฟาร์มเมื่อสภาพอากาศที่เลือกทำงาน Steal ยังมีลำดับสูงสุด|Cambia las mascotas de la granja durante el clima seleccionado. Steal mantiene prioridad.|Troca os pets da fazenda durante o clima selecionado. Steal continua prioritário.|Échange les animaux de la ferme pendant la météo sélectionnée. Steal reste prioritaire.|Wechselt Farm-Begleiter während des gewählten Wetters. Steal bleibt priorisiert.|Меняет питомцев фермы во время выбранной погоды. Steal остаётся приоритетом.
Temporarily change the pets placed on your farm when a specific weather is active.|Pansamantalang palitan ang pets sa farm kapag aktibo ang partikular na weather.|Ubah sementara pet di farm saat cuaca tertentu aktif.|Tạm đổi pet đặt trên nông trại khi thời tiết cụ thể đang hoạt động.|เปลี่ยนสัตว์เลี้ยงที่วางในฟาร์มชั่วคราวเมื่อสภาพอากาศที่กำหนดทำงาน|Cambia temporalmente las mascotas de tu granja cuando un clima específico está activo.|Troca temporariamente os pets da fazenda quando um clima específico estiver ativo.|Change temporairement les animaux placés sur votre ferme lorsqu’une météo précise est active.|Ändert vorübergehend die Farm-Begleiter, wenn ein bestimmtes Wetter aktiv ist.|Временно меняет питомцев на ферме, когда активна определённая погода.
Test Webhook|Subukan ang Webhook|Uji Webhook|Kiểm tra webhook|ทดสอบเว็บฮุก|Probar webhook|Testar webhook|Tester le webhook|Webhook testen|Проверить вебхук
Turn off 3D rendering and cover the world with a true black background while keeping UI layers visible.|I-off ang 3D rendering at takpan ang mundo ng tunay na itim na background habang nakikita pa rin ang UI.|Matikan rendering 3D dan tutupi dunia dengan latar hitam penuh sambil mempertahankan UI.|Tắt dựng hình 3D và phủ thế giới bằng nền đen hoàn toàn trong khi vẫn giữ UI hiển thị.|ปิดการเรนเดอร์ 3D และคลุมโลกด้วยพื้นหลังดำสนิทโดยยังแสดง UI|Desactiva el renderizado 3D y cubre el mundo con fondo negro real manteniendo visible la UI.|Desativa a renderização 3D e cobre o mundo com fundo preto real mantendo a UI visível.|Désactive le rendu 3D et couvre le monde d’un vrai fond noir tout en gardant l’interface visible.|Schaltet 3D-Rendering aus und deckt die Welt mit echtem Schwarz ab, während die UI sichtbar bleibt.|Отключает 3D-рендеринг и закрывает мир настоящим чёрным фоном, сохраняя UI видимым.
Turn off the 3D world renderer while keeping the interface visible. Disable this toggle to restore 3D.|I-off ang 3D world renderer habang visible ang interface. I-disable ang toggle para ibalik ang 3D.|Matikan renderer dunia 3D sambil menjaga antarmuka terlihat. Nonaktifkan toggle ini untuk memulihkan 3D.|Tắt bộ dựng thế giới 3D nhưng vẫn giữ giao diện. Tắt công tắc này để khôi phục 3D.|ปิดตัวเรนเดอร์โลก 3D โดยยังเห็นอินเทอร์เฟซ ปิดสวิตช์นี้เพื่อคืน 3D|Desactiva el renderizado del mundo 3D manteniendo la interfaz visible. Desactiva este interruptor para restaurar 3D.|Desativa o renderizador do mundo 3D mantendo a interface visível. Desative esta opção para restaurar 3D.|Désactive le rendu du monde 3D tout en gardant l’interface visible. Désactivez ce bouton pour restaurer la 3D.|Schaltet den 3D-Welt-Renderer aus und lässt die Oberfläche sichtbar. Deaktivieren, um 3D wiederherzustellen.|Отключает 3D-рендер мира, оставляя интерфейс видимым. Отключите переключатель, чтобы вернуть 3D.
Type any minimum K.G. Example: 50k or 50000 = 50,000 K.G. Also supports 1.5m, commas and decimals. 0 disables the K.G filter.|Mag-type ng anumang minimum K.G. Halimbawa: 50k o 50000 = 50,000 K.G. Suporta rin ang 1.5m, commas at decimals. 0 = off.|Masukkan minimum K.G apa pun. Contoh: 50k atau 50000 = 50.000 K.G. Juga mendukung 1.5m, koma dan desimal. 0 menonaktifkan filter.|Nhập K.G tối thiểu bất kỳ. Ví dụ: 50k hoặc 50000 = 50.000 K.G. Hỗ trợ 1.5m, dấu phẩy và thập phân. 0 tắt bộ lọc.|พิมพ์ K.G ขั้นต่ำได้ตามต้องการ เช่น 50k หรือ 50000 = 50,000 K.G รองรับ 1.5m จุลภาค และทศนิยม 0 = ปิดตัวกรอง|Escribe cualquier K.G mínimo. Ejemplo: 50k o 50000 = 50.000 K.G. También admite 1.5m, comas y decimales. 0 desactiva el filtro.|Digite qualquer K.G mínimo. Exemplo: 50k ou 50000 = 50.000 K.G. Também aceita 1.5m, vírgulas e decimais. 0 desativa o filtro.|Saisissez n’importe quel K.G minimum. Exemple : 50k ou 50000 = 50 000 K.G. Accepte aussi 1.5m, virgules et décimales. 0 désactive le filtre.|Beliebiges Mindest-K.G eingeben. Beispiel: 50k oder 50000 = 50.000 K.G. Unterstützt auch 1.5m, Kommas und Dezimalwerte. 0 deaktiviert den Filter.|Введите любой минимальный K.G. Пример: 50k или 50000 = 50 000 K.G. Также поддерживаются 1.5m, запятые и десятичные значения. 0 отключает фильтр.
